Date,Unnamed: 0_sum,sentiment_sum
2019-02-01,64734,3.5999999999999996
2019-02-02,5388,0.9
2019-02-03,32307,-0.30999999999999994
2019-02-04,5381,0.8
2019-02-05,21514,1.525
2019-02-06,21498,0.0
2019-02-07,32217,-1.5499999999999998
2019-02-08,53615,-0.4499999999999998
2019-02-09,85576,-0.2533333333333332
2019-02-10,74669,-3.6133333333333333
2019-02-11,47898,0.5083333333333334
2019-02-12,42508,-1.65
2019-02-13,47745,1.643333333333333
2019-02-14,47664,-2.87
2019-02-15,31731,0.06333333333333313
2019-02-16,10569,0.0
2019-02-17,105470,-4.841666666666666
2019-02-18,63090,-0.7124999999999999
2019-02-19,83896,0.9464285714285718
2019-02-20,52305,-2.75
2019-02-21,26115,1.9833333333333332
2019-02-22,41732,1.5499999999999998
2019-02-23,26050,1.0
2019-02-24,98762,6.508333333333333
2019-02-25,88060,2.4575
2019-02-26,20678,0.6666666666666667
2019-02-27,72247,-0.04166666666666696
2019-02-28,10305,0.7666666666666666
2019-03-01,77160,1.8883333333333334
2019-03-02,46188,4.446666666666667
2019-03-03,46107,-1.81
2019-03-04,81768,-3.749999999999999
2019-03-05,91683,-1.5500000000000003
2019-03-06,66014,-4.816666666666667
2019-03-07,25345,0.2
2019-03-08,171683,-0.2916666666666664
2019-03-09,55297,1.05
2019-03-10,55176,2.675
2019-03-11,75045,-4.333333333333333
2019-03-12,29955,-0.9011904761904762
2019-03-13,178974,-4.287142857142856
