"","BZUN.Adjusted","BABA.Adjusted","MOMO.Adjusted","PDD.Adjusted","combined","Date"
"214","-0.169946029834763","0.839378609319911","-0.807867464753878",NA,"-0.0461449617562434","2017-11-06"
"215","-0.163466260448364","0.858043843283879","-1.0008375221069",NA,"-0.102086646423794","2017-11-07"
"216","-0.136585373709406","0.784955032397563","-0.96572148270902",NA,"-0.105783941340288","2017-11-08"
"217","-0.176060093177195","0.763196654110899","-0.872611265269351",NA,"-0.0951582347785494","2017-11-09"
"218","-0.135832149824168","0.799317357354027","-0.98417431342246",NA,"-0.106896368630867","2017-11-10"
"219","-0.0060359063174003","0.746462748074944","-0.708718261779784",NA,"0.0105695266592533","2017-11-13"
"220","-0.023241642691977","0.667754819049413","-0.831154933558035",NA,"-0.0622139190668664","2017-11-14"
"221","-0.0420168796620937","0.658807807881347","-0.585647790198071",NA,"0.0103810460070609","2017-11-15"
"222","0.0761697102374445","0.771684467374573","-0.323349698896434",NA,"0.174834826238528","2017-11-16"
"223","0.0553502974073428","0.763196654110899","-0.478813039001167",NA,"0.113244637505692","2017-11-17"
"224","0.100924140138171","0.843842140519448","-0.197758696453165",NA,"0.249002528068151","2017-11-20"
"225","0.0581364386046289","0.924089706888909","-0.298962480544177",NA,"0.22775455498312","2017-11-21"
"226","-0.401846628395141","0.894900071209954","-0.331503660828534",NA,"0.0538499273287601","2017-11-22"
"227","-0.309691940335527","0.932047551894099","-0.326609861267821",NA,"0.0985819167635838","2017-11-24"
"228","-0.401008447921855","0.844678580918462","-0.53280624623417",NA,"-0.0297120377458542","2017-11-27"
"229","-0.444974704027205","0.807185646090268","-1.62641812541662",NA,"-0.421402394451185","2017-11-28"
"230","-0.531785703284731","0.613259335114817","-1.53733410460629",NA,"-0.485286824258734","2017-11-29"
"231","-0.501054255030405","0.53014244902558","-1.85707635277298",NA,"-0.609329386259269","2017-11-30"
"232","-0.581763784174323","0.45650591099618","-2.18131040250811",NA,"-0.768856091895416","2017-12-01"
